Date,symbol,Open,High,Low,Close,Volume
2024-07-15,000973,3.58,3.6,3.52,3.54,48691
2024-07-16,000973,3.54,3.54,3.46,3.49,58412
2024-07-17,000973,3.5,3.5,3.42,3.42,60363
2024-07-18,000973,3.4,3.44,3.34,3.43,70271
2024-07-19,000973,3.42,3.47,3.39,3.46,44206
2024-07-22,000973,3.42,3.47,3.42,3.44,33937
2024-07-23,000973,3.43,3.79,3.43,3.57,277785
2024-07-24,000973,3.5,3.55,3.43,3.44,168646
2024-07-25,000973,3.41,3.51,3.41,3.46,80268
2024-07-26,000973,3.48,3.55,3.48,3.55,72802
2024-07-29,000973,3.57,3.57,3.51,3.55,50640
2024-07-30,000973,3.55,3.59,3.52,3.57,56032
2024-07-31,000973,3.57,3.67,3.55,3.66,79646
2024-08-01,000973,3.65,3.7,3.62,3.65,64289
2024-08-02,000973,3.62,3.66,3.6,3.62,55042
2024-08-05,000973,3.59,3.64,3.53,3.54,74603
2024-08-06,000973,3.54,3.59,3.54,3.58,56489
2024-08-07,000973,3.59,3.61,3.56,3.6,43222
2024-08-08,000973,3.6,3.64,3.55,3.61,53434
2024-08-09,000973,3.62,3.66,3.61,3.63,51577
2024-08-12,000973,3.61,3.65,3.61,3.63,45396
2024-08-13,000973,3.63,3.68,3.58,3.68,67374
2024-08-14,000973,3.66,3.7,3.65,3.68,49448
2024-08-15,000973,3.67,3.74,3.66,3.72,60380
2024-08-16,000973,3.89,3.95,3.78,3.83,290277
2024-08-19,000973,3.75,3.84,3.75,3.78,133931
2024-08-20,000973,3.76,3.8,3.67,3.69,131354
2024-08-21,000973,3.7,3.72,3.67,3.69,56345
2024-08-22,000973,3.69,3.73,3.61,3.63,56768
2024-08-23,000973,3.63,3.64,3.54,3.56,59806
2024-08-26,000973,3.57,3.72,3.56,3.67,74168
2024-08-27,000973,3.65,3.68,3.57,3.58,57447
2024-08-28,000973,3.58,3.65,3.56,3.64,50989
2024-08-29,000973,3.62,3.69,3.59,3.68,56301
2024-08-30,000973,3.66,3.78,3.66,3.76,96675
