Date,symbol,Open,High,Low,Close,Volume
2024-07-16,688187,51.8,52.39,50.57,50.81,44551
2024-07-17,688187,50.99,50.99,46.08,47.74,107258
2024-07-18,688187,49.11,50.35,48.29,50.1,83637
2024-07-19,688187,49.62,52.78,49.52,52.63,68641
2024-07-22,688187,52.63,54.02,51.74,52.82,78280
2024-07-23,688187,52.58,52.95,50.96,51.15,39698
2024-07-24,688187,50.67,51.61,50.38,51.27,31431
2024-07-25,688187,50.76,52.37,50.53,51.65,32741
2024-07-26,688187,51.67,52.96,50.99,52.31,38641
2024-07-29,688187,52.39,54.49,52.39,53.01,51204
2024-07-30,688187,52.94,53.02,50.96,51.54,42910
2024-07-31,688187,52.01,52.06,50.49,52.04,40605
2024-08-01,688187,52.19,55.13,51.83,54.38,66776
2024-08-02,688187,54.17,54.92,53.05,53.59,42354
2024-08-05,688187,53.88,53.95,51.19,51.19,48205
2024-08-06,688187,51.66,52.26,51.04,51.65,26673
2024-08-07,688187,51.31,54.11,51.18,52.75,37671
2024-08-08,688187,52.7,53.38,51.51,51.7,26450
2024-08-09,688187,51.71,52.92,51.6,51.73,21940
2024-08-12,688187,51.7,53.14,50.76,52.77,27450
2024-08-13,688187,52.77,53.48,52.46,53.33,13893
2024-08-14,688187,53.33,53.34,52.1,52.51,18603
2024-08-15,688187,52.59,52.83,50.91,51.34,41768
2024-08-16,688187,51.3,51.88,50.43,51.1,25099
2024-08-19,688187,51.88,54.18,51.13,53.18,57452
2024-08-20,688187,52.77,53.38,51.61,52.97,35199
2024-08-21,688187,52.65,53.65,52.25,53.43,21814
2024-08-22,688187,53.22,55.62,53.12,54.53,46901
2024-08-23,688187,54.54,55.18,53.53,55.08,33214
2024-08-26,688187,54.11,54.11,48.25,50.81,101760
2024-08-27,688187,50.72,50.79,46.47,47.45,92791
2024-08-28,688187,47.52,47.69,45.04,45.44,60959
2024-08-29,688187,45.02,46.8,44.68,46.44,53678
2024-08-30,688187,46.15,47.4,44.58,45.04,89915
2024-09-02,688187,44.76,44.87,42.04,42.38,98940
2024-09-03,688187,42.67,44.28,42.24,43.99,59796
2024-09-04,688187,43.87,44.37,42.86,44.03,40236
2024-09-05,688187,43.65,44.37,42.69,42.96,31062
2024-09-06,688187,42.81,43.15,42.49,42.68,19950
2024-09-09,688187,43.24,43.24,41.11,41.41,54679
2024-09-10,688187,41.78,42.03,40.54,41.05,33671
2024-09-11,688187,41.03,42.62,40.68,42.53,55623
2024-09-12,688187,42.38,44.41,42.36,43.54,58003
2024-09-13,688187,43.71,43.78,42.49,42.7,36329
2024-09-18,688187,43.25,43.49,41.7,41.94,30942
2024-09-19,688187,42.08,42.13,40.88,41.59,53607
2024-09-20,688187,41.43,41.7,39.99,40.25,42818
2024-09-23,688187,40.22,41.69,39.9,41.33,34123
2024-09-24,688187,41.69,43.79,40.84,43.29,61974
2024-09-25,688187,43.73,46.31,43.73,45.37,76534
2024-09-26,688187,45.39,45.62,42.78,44.4,102020
2024-09-27,688187,44.79,45.77,44.08,45.74,54675
2024-09-30,688187,46.45,51.75,46.45,51.46,129666
2024-10-08,688187,61.74,61.75,54.7,58.86,171546
2024-10-09,688187,55.79,57.95,50.79,50.84,156276
2024-10-10,688187,52.95,53.82,50.43,51.58,115717
2024-10-11,688187,51.81,51.86,49.46,50.1,57944
2024-10-14,688187,50.67,52.61,49.26,51.49,77419
2024-10-15,688187,51.53,51.56,49.52,49.52,56239
2024-10-16,688187,47.81,50.7,47.81,49.62,61350
2024-10-17,688187,49.66,50.22,48.18,48.45,47518
2024-10-18,688187,48.0,52.93,48.0,51.12,87433
2024-10-21,688187,51.4,52.73,50.43,51.3,105409
2024-10-22,688187,51.4,51.88,49.95,50.48,59552
2024-10-23,688187,50.43,51.86,49.81,50.08,59309
2024-10-24,688187,49.73,50.28,48.25,48.4,59333
2024-10-25,688187,48.29,48.82,47.54,48.13,64849
2024-10-28,688187,48.28,49.04,47.74,48.45,43105
2024-10-29,688187,48.89,48.89,47.47,47.61,62249
2024-10-30,688187,47.23,47.9,46.16,46.79,59626
2024-10-31,688187,46.81,47.66,46.43,47.07,71038
2024-11-01,688187,47.26,48.18,46.57,47.09,66224
2024-11-04,688187,47.08,47.87,46.81,47.31,40469
2024-11-05,688187,47.18,48.8,46.39,48.57,74650
2024-11-06,688187,48.88,51.26,48.73,49.21,100365
2024-11-07,688187,48.69,52.68,48.68,52.56,121719
2024-11-08,688187,53.82,54.98,52.08,52.26,99573
2024-11-11,688187,51.9,53.34,51.6,52.07,86992
2024-11-12,688187,52.07,52.63,49.08,49.89,134650
2024-11-13,688187,49.47,50.12,49.26,49.58,70423
2024-11-14,688187,49.46,50.17,48.41,48.51,52084
2024-11-15,688187,48.34,49.3,48.27,48.29,46828
2024-11-18,688187,48.05,49.64,47.11,47.37,64345
2024-11-19,688187,48.28,48.28,46.24,47.27,71013
2024-11-20,688187,47.08,47.57,46.85,47.37,43081
2024-11-21,688187,47.01,47.3,46.02,46.41,64363
2024-11-22,688187,46.5,46.71,44.76,44.76,56318
2024-11-25,688187,44.76,45.26,44.22,44.63,58536
2024-11-26,688187,44.68,44.82,43.53,43.6,39872
2024-11-27,688187,43.66,45.44,42.87,45.24,68297
2024-11-28,688187,45.24,45.48,44.12,44.23,64771
2024-11-29,688187,44.13,45.58,43.81,44.97,51068
2024-12-02,688187,44.84,46.04,44.63,45.64,61543
2024-12-03,688187,45.64,45.86,45.05,45.67,36970
2024-12-04,688187,46.16,46.91,45.69,46.0,71184
2024-12-05,688187,45.58,46.16,45.04,45.52,37446
2024-12-06,688187,45.46,46.16,45.14,45.8,40561
2024-12-09,688187,46.55,47.71,46.41,46.82,60395
2024-12-10,688187,48.49,49.02,46.19,46.35,78968
2024-12-11,688187,46.2,46.54,45.99,46.27,29944
2024-12-12,688187,46.41,47.06,45.99,46.81,37533
2024-12-13,688187,46.5,46.73,45.89,45.95,36429
2024-12-16,688187,46.51,47.33,46.32,46.5,52262
2024-12-17,688187,46.42,47.6,46.24,46.68,46439
2024-12-18,688187,46.79,47.61,46.35,46.39,40842
2024-12-19,688187,45.58,46.17,45.35,45.68,43083
2024-12-20,688187,45.44,46.68,45.3,45.87,50184
2024-12-23,688187,45.95,47.25,45.87,46.27,61303
2024-12-24,688187,46.25,47.01,45.89,46.42,40287
2024-12-25,688187,46.55,46.64,44.59,44.75,52183
2024-12-26,688187,44.86,45.53,44.69,45.21,34953
2024-12-27,688187,45.38,45.92,44.94,45.05,44844
