Date,symbol,Open,High,Low,Close,Volume
2024-01-02,600941,90.45,91.45,89.49,90.47,80189
2024-01-03,600941,90.34,91.18,88.98,89.71,83459
2024-01-04,600941,89.49,91.13,89.07,90.9,94591
2024-01-05,600941,90.9,91.36,89.23,90.03,88022
2024-01-08,600941,89.56,90.32,88.9,90.16,82982
2024-01-09,600941,89.99,90.23,88.51,89.68,67519
2024-01-10,600941,89.52,90.24,88.18,88.46,62937
2024-01-11,600941,88.16,88.26,85.86,87.39,88266
2024-01-12,600941,86.78,88.06,86.25,87.33,55732
2024-01-15,600941,87.23,88.98,87.06,88.57,60937
2024-01-16,600941,88.57,89.03,87.83,88.65,66337
2024-01-17,600941,88.65,88.99,87.76,87.87,64153
2024-01-18,600941,87.59,90.26,86.51,89.97,100510
2024-01-19,600941,89.44,90.23,88.89,89.95,64655
2024-01-22,600941,89.95,90.17,88.22,88.85,89655
2024-01-23,600941,88.6,88.6,86.74,87.31,78295
2024-01-24,600941,87.06,89.49,86.92,88.98,79697
2024-01-25,600941,88.98,92.55,88.35,92.1,166512
2024-01-26,600941,91.27,93.73,90.38,92.92,115371
2024-01-29,600941,92.39,96.23,92.34,94.25,131160
2024-01-30,600941,93.93,94.72,92.65,92.74,80294
2024-01-31,600941,92.43,94.37,91.45,93.86,87111
2024-02-01,600941,92.55,93.81,91.64,92.43,84419
2024-02-02,600941,92.43,94.2,91.64,93.36,100467
2024-02-05,600941,93.64,95.34,93.33,94.84,109139
2024-02-06,600941,94.79,95.66,92.23,92.97,143284
2024-02-07,600941,92.55,93.18,91.11,92.92,128661
2024-02-08,600941,92.58,92.74,90.72,92.74,113432
2024-02-19,600941,92.12,95.34,91.15,95.26,116439
2024-02-20,600941,95.28,98.02,94.78,97.14,144067
2024-02-21,600941,97.0,97.63,96.17,96.36,94993
2024-02-22,600941,97.04,98.13,96.39,97.8,94153
2024-02-23,600941,97.66,97.68,95.62,95.93,91009
2024-02-26,600941,95.31,96.15,94.09,94.53,82306
2024-02-27,600941,94.52,94.93,94.0,94.81,73299
2024-02-28,600941,94.39,94.62,92.1,93.1,171429
2024-02-29,600941,92.65,93.58,92.55,93.47,100632
2024-03-01,600941,93.05,94.03,92.93,93.41,90903
2024-03-04,600941,93.13,95.78,92.93,95.31,130645
2024-03-05,600941,95.49,96.41,94.86,96.22,111583
2024-03-06,600941,96.22,97.59,95.92,96.76,110907
2024-03-07,600941,96.21,97.1,95.58,96.64,79980
2024-03-08,600941,96.2,100.05,95.82,99.43,123382
2024-03-11,600941,98.97,99.6,97.14,97.95,97265
2024-03-12,600941,97.76,98.15,93.93,94.18,167967
2024-03-13,600941,93.95,94.29,92.56,93.47,128536
2024-03-14,600941,93.48,94.65,93.25,94.17,79784
2024-03-15,600941,94.17,94.17,92.76,93.56,79617
2024-03-18,600941,93.56,95.09,93.16,94.51,98342
2024-03-19,600941,94.39,95.2,93.38,94.55,94067
2024-03-20,600941,94.39,95.76,94.12,95.06,83162
2024-03-21,600941,94.75,95.1,93.93,94.09,73820
2024-03-22,600941,94.5,97.38,93.22,96.58,134099
2024-03-25,600941,96.22,97.09,95.17,95.3,105210
2024-03-26,600941,94.73,96.0,94.73,95.31,70588
2024-03-27,600941,95.29,97.58,94.84,96.5,117374
2024-03-28,600941,96.31,97.27,95.69,97.22,67900
2024-03-29,600941,97.03,97.94,96.11,96.92,79914
2024-04-01,600941,96.92,97.1,95.72,95.84,90643
2024-04-02,600941,95.67,96.53,95.49,95.71,60048
2024-04-03,600941,95.39,96.17,95.02,95.81,68931
2024-04-08,600941,95.44,97.36,95.32,96.78,79831
2024-04-09,600941,96.59,96.94,95.12,96.0,66804
2024-04-10,600941,95.71,97.03,95.39,95.93,63997
2024-04-11,600941,95.66,96.16,94.31,94.4,85527
2024-04-12,600941,94.4,94.75,92.37,92.6,126632
2024-04-15,600941,92.6,96.2,92.55,96.07,131262
2024-04-16,600941,96.13,97.01,95.6,96.4,93419
2024-04-17,600941,96.13,97.41,94.73,97.23,79286
2024-04-18,600941,96.92,98.68,96.17,96.36,80433
2024-04-19,600941,96.08,98.13,96.05,97.83,87377
2024-04-22,600941,97.8,98.97,97.03,97.25,69443
2024-04-23,600941,97.18,97.59,95.39,95.91,85508
2024-04-24,600941,95.91,96.54,95.58,96.08,62698
2024-04-25,600941,96.04,96.19,95.03,95.58,53622
2024-04-26,600941,95.58,96.22,94.57,94.99,121499
2024-04-29,600941,95.0,95.0,93.57,94.19,151835
2024-04-30,600941,94.2,95.39,93.96,94.08,104438
2024-05-06,600941,94.39,94.42,91.82,92.37,278152
2024-05-07,600941,92.5,93.21,92.0,92.66,111399
2024-05-08,600941,92.66,93.09,91.89,92.58,100847
2024-05-09,600941,92.46,92.78,91.53,91.91,163120
2024-05-10,600941,91.82,93.33,91.18,92.92,189387
2024-05-13,600941,92.41,92.94,92.09,92.54,93863
2024-05-14,600941,92.55,92.65,91.68,91.87,76405
2024-05-15,600941,91.66,92.14,90.91,91.66,97792
2024-05-16,600941,91.66,91.66,90.35,90.63,141660
2024-05-17,600941,90.62,90.62,89.44,89.96,143568
2024-05-20,600941,89.9,89.95,88.71,89.82,222089
2024-05-21,600941,89.7,90.99,89.62,90.59,129997
2024-05-22,600941,90.7,90.99,90.02,90.28,97330
2024-05-23,600941,90.17,90.35,89.39,90.07,74716
2024-05-24,600941,89.96,90.7,89.77,89.86,87789
2024-05-27,600941,89.97,92.17,89.9,91.94,160079
2024-05-28,600941,91.64,92.14,91.19,91.41,70582
2024-05-29,600941,91.45,91.64,90.76,91.45,66605
2024-05-30,600941,91.27,92.42,91.09,91.97,105832
2024-05-31,600941,92.14,92.42,91.23,91.82,84412
2024-06-03,600941,91.83,93.6,91.83,93.37,137168
2024-06-04,600941,93.29,93.79,93.0,93.56,115881
2024-06-05,600941,93.53,94.39,92.65,93.18,129972
2024-06-06,600941,93.64,95.53,93.0,94.14,136657
2024-06-07,600941,94.07,94.92,93.74,94.59,84780
2024-06-11,600941,94.77,95.32,93.19,94.19,83780
2024-06-12,600941,93.94,94.22,93.28,94.02,75160
2024-06-13,600941,93.88,94.97,93.31,94.88,95836
2024-06-14,600941,94.63,95.33,93.3,94.57,124899
2024-06-17,600941,94.02,94.3,92.55,92.62,123498
2024-06-18,600941,92.58,93.75,91.95,93.61,129080
2024-06-19,600941,93.65,95.05,93.59,95.0,116217
2024-06-20,600941,95.0,95.32,94.49,95.05,79784
2024-06-21,600941,94.91,96.44,94.71,96.04,96950
2024-06-24,600941,96.04,96.77,95.52,95.99,95226
2024-06-25,600941,95.82,96.29,95.09,95.9,84779
2024-06-26,600941,95.62,96.74,95.15,96.14,64887
2024-06-27,600941,96.14,98.33,95.82,98.14,151554
2024-06-28,600941,97.72,100.91,97.68,100.67,150663
2024-07-01,600941,100.32,102.47,99.76,100.64,152023
2024-07-02,600941,100.09,102.51,100.09,102.0,94100
2024-07-03,600941,101.86,103.57,101.85,103.21,98904
2024-07-04,600941,102.64,103.38,101.19,102.22,92418
2024-07-05,600941,102.28,102.86,99.46,101.14,112870
2024-07-08,600941,100.58,102.94,99.92,102.46,111693
2024-07-09,600941,102.36,103.01,101.42,101.87,82147
2024-07-10,600941,101.5,102.45,99.92,100.73,79845
2024-07-11,600941,100.49,101.05,99.16,100.39,70226
2024-07-12,600941,99.92,101.33,99.56,101.06,81729
2024-07-15,600941,100.84,102.97,100.78,102.27,81904
2024-07-16,600941,102.07,103.48,102.03,103.48,73069
2024-07-17,600941,103.48,103.66,100.95,101.74,91886
2024-07-18,600941,101.3,105.71,101.24,104.93,143040
2024-07-19,600941,104.7,106.2,104.09,106.01,101480
2024-07-22,600941,105.39,106.75,102.08,103.19,141542
2024-07-23,600941,102.82,105.03,102.37,103.91,93869
2024-07-24,600941,103.58,105.31,103.01,104.87,82780
2024-07-25,600941,104.78,105.53,102.92,103.93,88253
2024-07-26,600941,103.9,103.9,98.32,99.27,171590
2024-07-29,600941,98.8,100.39,97.42,99.83,129255
2024-07-30,600941,99.28,101.26,99.11,100.83,82419
2024-07-31,600941,100.67,101.2,97.63,98.44,146082
2024-08-01,600941,98.03,99.22,97.97,98.35,80117
2024-08-02,600941,98.12,100.3,98.1,99.82,90367
2024-08-05,600941,99.74,100.67,98.5,98.74,71554
2024-08-06,600941,98.99,99.08,96.14,97.85,107763
2024-08-07,600941,97.56,98.71,97.11,97.34,66137
2024-08-08,600941,97.34,97.96,96.84,97.34,56444
2024-08-09,600941,97.35,97.55,94.33,95.52,164145
2024-08-12,600941,95.36,95.48,93.54,93.78,117136
2024-08-13,600941,93.65,94.57,93.65,94.31,71467
2024-08-14,600941,94.31,97.11,94.06,96.42,121669
2024-08-15,600941,96.27,98.28,96.18,98.28,92758
2024-08-16,600941,98.28,98.74,97.79,98.2,54724
2024-08-19,600941,98.21,98.6,97.68,98.24,53280
2024-08-20,600941,98.25,99.07,97.75,98.47,63647
2024-08-21,600941,98.09,98.48,96.83,97.86,51236
2024-08-22,600941,97.7,98.88,97.58,98.85,63125
2024-08-23,600941,98.63,99.7,98.1,98.86,68414
2024-08-26,600941,98.76,99.73,98.15,99.32,60088
2024-08-27,600941,99.32,101.33,99.03,100.83,92010
2024-08-28,600941,100.67,101.16,99.74,100.86,59406
2024-08-29,600941,100.72,101.0,98.93,99.64,73666
2024-08-30,600941,99.28,99.73,97.29,98.32,131344
2024-09-02,600941,98.22,99.05,97.26,98.6,69088
2024-09-03,600941,98.65,99.16,97.59,98.88,73481
2024-09-04,600941,98.31,99.07,97.91,98.48,54869
2024-09-05,600941,99.04,99.17,96.78,97.41,74266
2024-09-06,600941,97.42,98.22,97.21,97.64,60265
2024-09-09,600941,97.35,98.21,95.83,96.07,74976
2024-09-10,600941,96.08,98.07,96.01,97.66,69955
2024-09-11,600941,97.66,97.91,95.07,95.27,96159
2024-09-12,600941,95.44,95.61,94.0,94.73,65188
2024-09-13,600941,94.67,96.49,94.65,96.06,77825
2024-09-18,600941,96.07,97.17,96.07,96.5,50392
2024-09-19,600941,96.54,96.63,95.5,95.74,68786
2024-09-20,600941,95.73,97.21,94.82,97.16,64137
2024-09-23,600941,96.74,97.45,96.65,96.83,53946
2024-09-24,600941,97.16,100.52,96.66,99.84,117698
2024-09-25,600941,100.6,103.49,99.23,99.56,122722
2024-09-26,600941,99.56,100.61,98.99,100.54,112747
2024-09-27,600941,100.6,100.9,97.13,99.93,278377
2024-09-30,600941,100.62,107.13,99.28,105.12,497962
2024-10-08,600941,113.08,114.03,102.25,105.54,450180
2024-10-09,600941,103.97,105.4,101.28,102.16,251778
2024-10-10,600941,102.16,106.84,102.13,104.25,257625
2024-10-11,600941,103.49,105.4,102.43,104.03,180201
2024-10-14,600941,103.43,107.03,103.43,106.17,184979
2024-10-15,600941,105.88,106.05,103.08,103.14,133334
2024-10-16,600941,102.65,103.78,102.02,102.61,83983
2024-10-17,600941,103.27,103.39,101.05,101.23,100150
2024-10-18,600941,101.21,103.65,100.68,102.62,129893
2024-10-21,600941,102.63,102.65,100.98,101.86,156253
2024-10-22,600941,101.02,101.15,99.46,100.02,213408
2024-10-23,600941,100.02,100.61,99.54,99.99,122122
2024-10-24,600941,99.45,99.45,97.4,97.95,209446
2024-10-25,600941,97.75,98.29,97.1,97.67,161234
2024-10-28,600941,97.62,98.05,97.16,98.02,116233
2024-10-29,600941,98.09,98.39,96.78,97.93,164928
2024-10-30,600941,97.65,98.17,97.37,97.91,92433
2024-10-31,600941,97.85,98.83,97.85,98.36,128749
2024-11-01,600941,98.22,99.35,97.92,99.08,130617
