Date,symbol,Open,High,Low,Close,Volume
2024-07-15,002193,3.15,3.15,3.15,3.15,42806
2024-07-16,002193,3.46,3.47,3.17,3.23,352405
2024-07-17,002193,3.15,3.25,3.02,3.05,277509
2024-07-18,002193,2.98,2.99,2.9,2.98,187244
2024-07-19,002193,2.96,2.96,2.9,2.95,129933
2024-07-22,002193,2.98,3.25,2.98,3.25,122644
2024-07-23,002193,3.45,3.47,3.18,3.22,350575
2024-07-24,002193,3.23,3.27,3.1,3.13,173358
2024-07-25,002193,3.16,3.26,3.07,3.2,160733
2024-07-26,002193,3.15,3.29,3.15,3.27,158758
2024-07-29,002193,3.25,3.32,3.2,3.28,148398
2024-07-30,002193,3.3,3.37,3.27,3.36,123289
2024-07-31,002193,3.36,3.42,3.33,3.42,132425
2024-08-01,002193,3.41,3.66,3.39,3.5,192515
2024-08-02,002193,3.47,3.75,3.46,3.73,228929
2024-08-05,002193,3.66,4.04,3.57,3.57,262061
2024-08-06,002193,3.61,3.86,3.6,3.84,202361
2024-08-07,002193,3.76,3.81,3.66,3.66,138082
2024-08-08,002193,3.6,3.71,3.52,3.62,119001
2024-08-09,002193,3.63,3.63,3.49,3.49,85126
2024-08-12,002193,3.49,3.5,3.4,3.43,68322
2024-08-13,002193,3.45,3.51,3.35,3.5,61780
2024-08-14,002193,3.53,3.58,3.48,3.52,58584
2024-08-15,002193,3.52,3.6,3.46,3.59,61377
2024-08-16,002193,3.58,3.62,3.5,3.51,53581
2024-08-19,002193,3.48,3.51,3.44,3.48,47196
2024-08-20,002193,3.46,3.5,3.37,3.4,48735
2024-08-21,002193,3.38,3.44,3.35,3.42,40108
2024-08-22,002193,3.41,3.76,3.37,3.76,141159
2024-08-23,002193,3.75,3.75,3.54,3.57,239298
2024-08-26,002193,3.53,3.61,3.4,3.61,134418
2024-08-27,002193,3.59,3.6,3.45,3.46,84685
2024-08-28,002193,3.42,3.55,3.39,3.48,64680
2024-08-29,002193,3.49,3.61,3.44,3.6,83105
2024-08-30,002193,3.65,3.78,3.61,3.71,142760
2024-09-02,002193,3.76,3.88,3.73,3.74,132737
2024-09-03,002193,3.78,3.81,3.67,3.72,73034
2024-09-04,002193,3.74,3.9,3.7,3.83,162118
2024-09-05,002193,3.8,4.14,3.76,3.9,204398
2024-09-06,002193,3.97,4.09,3.8,3.81,130582
2024-09-09,002193,3.86,3.91,3.71,3.8,82387
2024-09-10,002193,3.9,3.97,3.82,3.9,104994
2024-09-11,002193,3.92,3.92,3.79,3.83,80946
2024-09-12,002193,3.84,3.9,3.81,3.85,58583
2024-09-13,002193,3.86,3.89,3.74,3.78,62349
2024-09-18,002193,3.78,3.8,3.63,3.72,69438
2024-09-19,002193,3.72,3.89,3.71,3.88,69301
2024-09-20,002193,3.89,3.91,3.82,3.89,47533
2024-09-23,002193,3.89,4.0,3.83,3.95,61235
2024-09-24,002193,3.93,4.12,3.93,4.11,103964
2024-09-25,002193,4.15,4.24,4.1,4.15,125809
2024-09-26,002193,4.17,4.24,4.14,4.23,77739
2024-09-27,002193,4.34,4.48,4.24,4.41,109061
2024-09-30,002193,4.56,4.8,4.41,4.79,174801
2024-10-08,002193,5.26,5.26,4.77,5.0,247201
2024-10-09,002193,4.95,4.95,4.5,4.5,174247
2024-10-10,002193,4.42,4.6,4.28,4.44,127623
2024-10-11,002193,4.47,4.47,4.2,4.26,95679
2024-10-14,002193,4.27,4.42,4.23,4.31,126013
2024-10-15,002193,4.35,4.74,4.21,4.74,275361
2024-10-16,002193,4.65,4.85,4.48,4.59,443755
2024-10-17,002193,4.55,4.68,4.49,4.55,280146
2024-10-18,002193,4.51,4.65,4.39,4.59,270803
2024-10-21,002193,4.58,4.81,4.56,4.71,218484
2024-10-22,002193,4.72,4.88,4.65,4.86,205337
2024-10-23,002193,4.87,4.98,4.81,4.84,161869
2024-10-24,002193,4.78,4.95,4.78,4.94,130925
2024-10-25,002193,4.94,5.12,4.93,5.11,144789
2024-10-28,002193,5.2,5.3,5.04,5.28,156413
2024-10-29,002193,5.28,5.32,5.02,5.03,189915
2024-10-30,002193,5.01,5.09,4.9,5.03,118867
2024-10-31,002193,5.0,5.1,4.99,5.06,102403
2024-11-01,002193,5.04,5.06,4.74,4.78,143155
2024-11-04,002193,4.74,4.84,4.7,4.83,75880
2024-11-05,002193,4.87,5.02,4.84,4.96,93798
2024-11-06,002193,4.99,5.06,4.9,4.97,92653
2024-11-07,002193,5.02,5.14,4.93,5.14,113383
2024-11-08,002193,5.17,5.23,4.99,5.02,131202
2024-11-11,002193,5.1,5.14,5.01,5.13,100334
2024-11-12,002193,5.17,5.29,5.09,5.14,122672
2024-11-13,002193,5.14,5.24,5.01,5.19,94852
2024-11-14,002193,5.18,5.23,4.96,4.99,83435
2024-11-15,002193,4.93,5.09,4.91,4.91,81808
2024-11-18,002193,4.98,5.12,4.76,4.81,108841
2024-11-19,002193,4.8,4.87,4.69,4.87,79580
2024-11-20,002193,4.87,5.05,4.82,5.04,81650
2024-11-21,002193,5.05,5.08,4.94,5.04,70225
